"","ACHY","AMID","AMSIN","ARPU9","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BOGR","BOGR/D","BRTE","BRTE/D","CHDE2","CHNAA3","CHVI8","CHVI8/DP","CLLU2","CRFL5","DEPI","DEPI/D","ECCOC","ECCOC/D","ELEL","EPVI","ERCI6","GRFA","GUSA","GUSA/D","HECO26","HECO26/D","HYACA2","JUOS","KRLA2","KRLA2/DP","LAOC3","LEMO2","MAFR3","MAFR3/DP","OENOT","OPPO","OPPO/D","OPPO/DP","PEPU7","PIED","PLPA2","SALS0","SALS0/D","SPCO","SPCR","SPCR/D","UNKSPR","BAMU","CHVI8/D","ERAB3","HIJA","JUOS/D","LAAC3","PEPU9","PIED/D","SHRO/DP","SPCO/D","UNKF10","UNKF11","UNKF14","UNKF9","YUAN2/D","AMHI","CETE5","CLLU2/D","HECO26/DP","KRLA2/D","OECA10","PHAU3","UNKFG"
"B4_4",2,0,0,0,0,10,0,0,0,0,87,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_6",0,0,0,0,10,5,1,0,0,0,40,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_7",0,0,0,0,0,3,0,5,0,0,120,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_8",2,0,0,0,0,0,0,11,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,0,26,0,0,0,0,1,0,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_9",6,0,0,0,0,6,0,1,0,0,36,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,31,0,1,3,0,0,0,0,0,0,0,2,1,2,0,19,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_1",0,0,0,0,28,7,5,0,0,0,98,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
"IL1_10",0,0,0,0,0,0,0,5,0,0,122,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_3",0,0,0,0,0,1,0,7,0,1,25,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,119,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_4",1,0,0,0,12,6,1,0,0,0,67,1,0,0,0,0,24,0,0,0,0,0,1,0,1,2,0,0,7,0,33,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_5",6,0,0,0,0,7,0,5,0,0,31,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,5,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_8",0,0,0,0,2,4,0,1,0,0,105,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_9",0,0,0,3,0,1,3,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_1",4,0,0,0,3,6,1,3,0,1,41,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_10",0,0,0,0,4,11,2,3,0,1,72,6,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,5,3,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_2",0,0,0,0,0,1,0,3,0,0,72,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_3",1,0,0,1,2,9,0,3,0,0,128,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_4",0,0,0,1,0,4,0,0,0,0,10,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,41,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_5",0,1,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,3,0,2,0,0,0,0,7,0,7,0,0,3,1,0,0,132,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_7",3,0,0,0,17,15,2,0,0,1,64,3,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,9,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_8",0,0,0,1,7,4,2,6,0,0,19,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,8,2,7,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_9",2,0,0,1,0,8,0,9,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,4,2,1,0,6,1,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_1",0,0,0,0,0,6,0,3,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_10",3,0,0,0,12,8,4,4,0,0,69,2,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,7,0,6,0,0,0,0,0,3,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_2",0,0,0,0,5,5,6,10,1,1,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4,0,0,0,0,0,0,0,0,0
"IL3_3",0,0,0,0,0,13,0,1,0,0,63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,3,111,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_4",0,0,0,0,23,6,0,1,0,0,74,6,1,0,0,0,6,1,0,0,0,0,0,0,1,0,0,1,0,0,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_6",0,0,0,0,12,6,2,0,0,0,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_7",0,0,1,0,1,5,3,5,0,0,101,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,43,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_9",1,0,0,1,16,13,6,0,0,0,53,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,3,70,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_10",4,0,0,0,17,4,0,5,1,0,73,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_2",1,0,0,0,1,7,0,11,2,2,44,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_3",0,0,0,0,0,3,0,2,0,0,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,84,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_4",0,0,0,0,0,5,0,2,0,0,55,9,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7,5,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"IL4_5",2,0,0,0,1,4,0,4,0,0,73,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,1,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_7",5,0,0,0,0,17,0,7,0,0,83,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,43,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_8",0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,1,0,0,0,1,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"IL4_9",3,0,0,0,1,8,0,4,0,0,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,108,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_1",0,0,5,0,0,2,0,20,0,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,65,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_10",0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,13,0,0,0,0,10,0,4,0,0,3,0,0,0,132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_2",3,0,2,0,5,11,2,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,18,0,0,0,10,1,28,0,0,0,0,1,0,0,0,0,2,0,0,0,59,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"M1_4",0,0,14,0,1,4,0,0,0,0,11,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,32,0,0,0,0,6,0,0,0,0,3,0,0,0,52,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"M1_5",3,0,1,0,3,16,0,5,0,0,67,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,79,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_6",0,0,6,0,0,0,0,25,2,0,45,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,11,0,0,0,0,8,0,2,0,0,2,0,0,0,54,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_7",0,0,3,0,0,0,0,28,0,9,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,3,1,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"M1_8",0,0,0,0,0,0,0,10,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,24,1,0,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"M2_1",6,0,0,1,2,16,1,2,0,0,107,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,26,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_10",0,0,12,0,1,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_3",1,0,0,0,0,20,0,4,2,0,111,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,57,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_5",0,0,8,0,0,0,0,11,0,0,78,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_6",0,0,0,0,0,0,0,31,5,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"M2_7",0,0,0,0,0,0,0,12,0,2,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,0,0,30,2,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_8",0,24,0,0,0,0,0,9,0,0,29,3,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,11,0,0,0,1,2,0,1,0,0,9,0,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_9",0,0,5,0,0,5,0,10,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,1,0,19,0,0,0,0,4,0,3,0,0,7,0,0,0,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"M3_1",0,0,0,0,0,0,0,0,0,0,101,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,0,2,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_2",5,0,0,0,3,26,1,3,0,0,94,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,10,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_3",21,0,0,0,0,1,2,6,4,0,85,2,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,1,1,63,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_5",0,0,0,0,0,18,0,2,2,0,128,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_7",0,0,9,0,0,1,2,0,0,0,16,6,12,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,14,0,0,0,0,0,1,1,0,0,5,0,4,1,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_8",7,0,0,0,0,26,0,9,0,0,81,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,49,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_2",14,0,0,0,5,0,0,6,1,1,70,1,0,0,0,0,16,5,0,0,0,0,0,0,0,1,0,0,4,0,41,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_3",8,0,0,0,0,13,0,1,0,0,127,6,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,4,0,60,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_4",0,3,0,0,0,1,0,0,0,0,115,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,3,0,0,0,0,0,0,9,1,3,0,0,2,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"M4_5",0,0,13,0,0,0,0,0,0,0,35,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,24,0,0,0,0,8,0,2,0,0,1,0,0,0,53,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
