,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,BOGR2,BOGR2.D,BRTE,BRTE.D,CHDE2,CHLE4,CHNAA3,CHVI8,CLLU2,CRFL5,DEPI,DEPI.D,ECCOC,ECCOC.D,ELEL5,EPVI,ERCI6,GRFA,GUSA2,GUSA2.D,HECO26,HECO26.D,HYACA2,JUOS,KRLA2,LAOC3,LEMO2,MAFR3,OENOT,OPPO,OPPO.D,PEPU7,PIED,PLPA2,SALSO,SALSO.D,SPCO,SPCR,SPCR.D,BAMU,CHVI8.D,ERAB3,HIJA,JUOS.D,PHAU3,PIED.D,SPCO.D,YUAN2.D,CETE5,CLLU2.D,KRLA2.D,OECA10,SHRO
B1_1,0,0,0,15,12,0,1,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,176,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_10,0,0,0,3,7,0,0,144,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_2,0,0,0,0,0,18,0,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,20,0,0,0,2,0,0,0,0,4,0,1,0,0,1,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_3,2,0,9,0,0,6,0,22,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,22,0,0,0,0,1,1,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_4,0,0,0,0,2,5,0,23,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,0,0,0,3,0,0,0,0,0,0,0,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_5,0,0,0,0,2,14,0,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_6,0,0,0,0,3,13,0,83,5,5,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_7,5,0,0,26,12,3,0,67,4,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,6,0,0,0,3,0,0,0,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_8,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,16,0,0,0,3,0,0,0,11,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_9,0,0,0,0,7,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_1,0,4,1,0,0,0,0,68,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,10,8,0,0,0,15,0,0,0,1,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_10,0,0,0,9,10,0,0,62,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,50,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_2,0,0,0,0,9,7,0,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_4,0,0,0,3,3,0,0,109,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_5,4,0,0,0,6,0,0,106,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_6,1,0,0,0,1,1,0,96,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,29,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_7,1,0,0,0,18,0,2,102,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,17,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_8,0,0,0,0,0,0,0,53,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_9,0,0,0,5,6,1,0,106,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_1,4,0,0,2,6,0,0,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_10,0,0,0,16,7,3,0,67,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18,1,0,5,2,0,0,0,0,0,0,0,5,0,0,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_2,0,0,0,0,2,0,0,62,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,35,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_3,0,0,0,0,0,1,0,68,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,9,2,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_4,0,1,0,0,0,4,0,102,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,2,0,0,0,26,0,0,0,1,1,0,0,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_5,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,13,1,0,92,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_6,2,0,0,1,23,4,0,88,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,50,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_7,4,0,0,2,14,5,0,76,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,21,7,59,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_8,0,0,0,0,2,0,0,113,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_9,0,1,0,0,0,0,0,139,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,2,0,0,2,14,0,0,0,4,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_1,4,0,0,1,6,2,3,76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,58,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_10,2,0,0,0,5,8,0,43,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,3,77,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_2,1,0,1,1,7,6,0,61,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,0,0,0,0,0,0,5,0,4,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_3,0,0,0,1,17,1,0,104,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,20,0,0,0,0,0,1,2,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_4,2,0,0,0,10,0,0,87,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_6,0,0,0,11,5,0,0,40,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_7,0,0,0,0,3,5,0,120,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_8,2,0,0,0,0,13,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_9,6,0,0,0,6,1,0,36,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,31,0,1,3,0,0,0,0,0,4,1,0,19,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1_1,0,0,0,33,7,0,0,98,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
IL1_10,0,0,0,0,0,5,0,122,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1_3,0,0,0,0,1,8,0,25,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,119,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1_4,1,0,0,13,6,0,0,67,1,0,0,0,0,0,24,0,0,0,0,1,0,1,2,0,0,7,0,33,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1_5,6,0,0,0,7,5,0,31,2,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,3,5,72,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1_8,0,0,0,2,4,1,0,105,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1_9,0,0,3,3,1,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2_1,4,0,0,4,6,4,0,41,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,6,52,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2_10,0,0,0,6,11,4,0,72,6,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,5,3,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2_2,0,0,0,0,1,3,0,72,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2_3,1,0,1,2,9,3,0,128,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
