"Plot","Line","SpeciesCode","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"82",1,"ARTR2",0,0,3,0,0
"82",2,"ARTR2",0,0,8,2,0
"82",3,"ARTR2",0,0,4,0,0
"83",1,"ARTR2",0,0,2,3,0
"83",2,"ARTR2",0,0,1,1,0
"83",3,"ARTR2",0,0,4,2,0
"86",1,"ARTR2",0,0,2,1,0
"86",2,"ARTR2",0,0,1,0,0
"86",3,"ARTR2",0,0,1,0,0
"88",1,"ARTR2",0,0,0,0,0
"88",2,"ARTR2",0,0,0,0,0
"88",3,"ARTR2",1,0,2,0,0
"89",1,"ARTR2",1,0,5,0,0
"89",2,"ARTR2",0,0,2,1,0
"89",3,"ARTR2",0,0,0,0,0
"90",1,"ARTR2",0,0,7,1,0
"90",2,"ARTR2",0,0,6,4,0
"90",3,"ARTR2",0,0,1,2,0
"91",1,"ARTR2",0,0,0,0,0
"91",2,"ARTR2",0,0,1,0,0
"91",3,"ARTR2",0,0,0,0,0
"92",1,"ARTR2",0,0,2,0,0
"92",2,"ARTR2",0,0,0,0,0
"92",3,"ARTR2",0,0,1,1,0
"93",1,"ARTR2",2,0,1,0,0
"93",2,"ARTR2",1,0,0,0,0
"93",3,"ARTR2",0,0,0,0,0
"94",1,"ARTR2",0,0,0,0,0
"94",2,"ARTR2",0,0,0,0,0
"94",3,"ARTR2",0,0,0,0,0
"95",1,"ARTR2",0,0,2,0,0
"95",2,"ARTR2",0,0,1,0,0
"95",3,"ARTR2",0,0,3,0,0
"B1_1",2,"ARTR2",0,0,2,1,0
"B1_1",3,"ARTR2",0,0,3,2,0
"B1_1",4,"ARTR2",0,0,1,6,0
"B1_10",2,"ARTR2",0,1,1,1,0
"B1_10",2,"ARTR2",0,0,0,0,0
"B1_10",3,"ARTR2",0,0,0,0,0
"B1_10",3,"ARTR2",0,0,0,0,0
"B1_10",4,"ARTR2",0,1,0,0,0
"B1_10",4,"ARTR2",0,0,0,0,0
"B1_2",2,"ARTR2",0,0,0,0,0
"B1_2",3,"ARTR2",0,0,0,2,0
"B1_2",4,"ARTR2",0,0,1,0,0
"B1_3",2,"ARTR2",1,1,0,0,0
"B1_3",3,"ARTR2",0,0,0,0,0
"B1_3",4,"ARTR2",0,0,0,0,0
"B1_4",2,"ARTR2",0,0,0,0,0
"B1_4",3,"ARTR2",0,0,0,0,0
"B1_4",4,"ARTR2",0,0,0,0,0
"B1_5",2,"ARTR2",0,0,0,0,0
"B1_5",3,"ARTR2",0,0,0,0,0
"B1_5",4,"ARTR2",0,0,0,0,0
"B1_6",2,"ARTR2",0,0,0,0,0
"B1_6",3,"ARTR2",0,0,1,0,0
"B1_6",4,"ARTR2",0,0,0,0,0
"B1_7",2,"ARTR2",4,0,8,4,0
"B1_7",3,"ARTR2",2,0,15,10,0
"B1_7",4,"ARTR2",0,0,12,10,0
"B1_8",2,"ARTR2",0,0,0,0,0
"B1_8",3,"ARTR2",0,0,0,0,0
"B1_8",4,"ARTR2",0,0,0,0,0
"B1_9",2,"ARTR2",0,0,0,0,0
"B1_9",3,"ARTR2",0,0,0,0,0
"B1_9",4,"ARTR2",0,0,0,0,0
"B2_1",2,"ARTR2",0,0,0,0,0
"B2_1",3,"ARTR2",0,0,0,0,0
"B2_1",4,"ARTR2",0,0,0,0,0
"B2_10",2,"ARTR2",0,3,3,0,0
"B2_10",2,"ARTR2",0,0,0,0,0
"B2_10",3,"ARTR2",0,0,4,1,0
"B2_10",3,"ARTR2",0,0,0,0,0
"B2_10",4,"ARTR2",0,1,5,1,0
"B2_10",4,"ARTR2",0,0,0,0,0
"B2_2",2,"ARTR2",0,0,0,0,0
"B2_2",3,"ARTR2",0,0,1,0,0
"B2_2",4,"ARTR2",0,0,0,0,0
"B2_4",2,"ARTR2",0,1,5,0,0
"B2_4",3,"ARTR2",0,0,0,0,0
"B2_4",4,"ARTR2",0,0,3,0,0
"B2_5",2,"ARTR2",0,0,4,1,0
"B2_5",3,"ARTR2",2,0,3,1,0
"B2_5",4,"ARTR2",0,0,0,0,0
"B2_6",2,"ARTR2",0,0,0,0,0
"B2_6",2,"ARTR2",0,0,0,0,0
"B2_6",3,"ARTR2",0,0,2,0,0
"B2_6",3,"ARTR2",0,0,0,0,0
"B2_6",4,"ARTR2",0,0,0,0,0
"B2_6",4,"ARTR2",0,0,0,0,0
"B2_7",2,"ARTR2",0,0,0,0,0
"B2_7",3,"ARTR2",0,0,0,0,0
"B2_7",4,"ARTR2",0,2,0,0,0
"B2_8",2,"ARTR2",0,0,0,0,0
"B2_8",3,"ARTR2",0,0,0,0,0
"B2_8",4,"ARTR2",0,0,0,0,0
"B2_9",2,"ARTR2",0,0,2,0,0
"B2_9",3,"ARTR2",0,0,2,0,0
"B2_9",4,"ARTR2",0,0,1,0,0
"B3_1",2,"ARTR2",0,1,4,0,0
"B3_1",3,"ARTR2",0,0,1,0,0
"B3_1",4,"ARTR2",2,1,5,0,0
"B3_10",2,"ARTR2",0,12,9,1,0
"B3_10",3,"ARTR2",0,4,13,4,0
"B3_10",4,"ARTR2",0,3,17,4,0
"B3_2",2,"ARTR2",0,0,0,0,0
"B3_2",3,"ARTR2",1,0,2,0,0
"B3_2",4,"ARTR2",0,1,0,0,0
"B3_3",2,"ARTR2",0,0,0,0,0
"B3_3",3,"ARTR2",0,0,0,0,0
"B3_3",4,"ARTR2",0,0,0,0,0
"B3_4",2,"ARTR2",0,0,0,0,0
"B3_4",3,"ARTR2",0,0,0,0,0
"B3_4",4,"ARTR2",0,0,0,0,0
"B3_5",2,"ARTR2",0,0,0,0,0
"B3_5",2,"ARTR2",0,0,0,0,0
"B3_5",3,"ARTR2",0,0,1,0,0
"B3_5",3,"ARTR2",0,0,0,0,0
"B3_5",4,"ARTR2",0,0,0,0,0
"B3_5",4,"ARTR2",0,0,0,0,0
"B3_6",2,"ARTR2",0,0,0,0,0
"B3_6",3,"ARTR2",0,0,1,0,0
"B3_6",4,"ARTR2",0,0,0,1,0
"B3_7",2,"ARTR2",0,0,0,0,0
"B3_7",3,"ARTR2",0,1,2,0,0
"B3_7",4,"ARTR2",0,2,1,0,0
"B3_8",2,"ARTR2",0,0,0,0,0
"B3_8",3,"ARTR2",0,0,2,0,0
"B3_8",4,"ARTR2",0,0,4,0,0
"B3_9",2,"ARTR2",0,0,0,0,0
"B3_9",3,"ARTR2",0,0,0,0,0
"B3_9",4,"ARTR2",0,0,0,0,0
"B4_1",2,"ARTR2",0,1,0,0,0
"B4_1",3,"ARTR2",0,1,2,1,0
"B4_1",4,"ARTR2",0,0,1,0,0
"B4_10",2,"ARTR2",0,0,0,0,0
"B4_10",2,"ARTR2",0,0,0,0,0
"B4_10",3,"ARTR2",0,0,0,0,0
"B4_10",3,"ARTR2",0,0,0,0,0
"B4_10",4,"ARTR2",0,0,0,0,0
"B4_10",4,"ARTR2",0,0,0,0,0
"B4_2",2,"ARTR2",0,1,1,0,0
"B4_2",3,"ARTR2",0,0,1,0,0
"B4_2",4,"ARTR2",1,1,4,0,0
"B4_3",2,"ARTR2",1,0,7,2,0
"B4_3",3,"ARTR2",0,0,0,5,0
"B4_3",4,"ARTR2",0,0,3,0,0
"B4_4",2,"ARTR2",0,0,0,0,0
"B4_4",3,"ARTR2",0,0,0,0,0
"B4_4",4,"ARTR2",0,0,0,0,0
"B4_6",2,"ARTR2",0,0,0,0,0
"B4_6",3,"ARTR2",0,0,4,1,0
"B4_6",4,"ARTR2",0,1,4,2,0
"B4_7",2,"ARTR2",0,0,0,0,0
"B4_7",3,"ARTR2",0,0,0,0,0
"B4_7",4,"ARTR2",0,0,0,0,0
"B4_8",2,"ARTR2",0,0,0,0,0
"B4_8",3,"ARTR2",0,0,0,0,0
"B4_8",4,"ARTR2",0,0,0,0,0
"B4_9",2,"ARTR2",0,0,3,0,0
"B4_9",3,"ARTR2",0,0,2,0,0
"B4_9",4,"ARTR2",0,0,0,0,0
"IL1_1",2,"ARTR2",1,0,4,6,0
"IL1_1",3,"ARTR2",0,0,8,13,0
"IL1_1",4,"ARTR2",0,1,10,6,0
"IL1_10",2,"ARTR2",0,0,0,0,0
"IL1_10",3,"ARTR2",0,0,0,0,0
"IL1_10",4,"ARTR2",0,0,0,0,0
"IL1_3",2,"ARTR2",0,0,0,0,0
"IL1_3",3,"ARTR2",0,0,0,0,0
"IL1_3",4,"ARTR2",0,0,0,0,0
"IL1_4",2,"ARTR2",0,0,6,1,0
"IL1_4",3,"ARTR2",0,1,13,0,0
"IL1_4",4,"ARTR2",2,1,20,3,0
"IL1_5",2,"ARTR2",0,0,2,0,0
"IL1_5",3,"ARTR2",0,0,0,0,0
"IL1_5",4,"ARTR2",0,0,0,1,0
"IL1_8",2,"ARTR2",0,0,0,0,0
"IL1_8",3,"ARTR2",0,0,1,1,0
"IL1_8",4,"ARTR2",0,0,1,0,0
"IL1_9",2,"ARTR2",7,0,7,0,0
"IL1_9",3,"ARTR2",1,0,5,0,0
"IL1_9",4,"ARTR2",5,1,4,1,0
"IL2_1",2,"ARTR2",0,1,4,0,0
"IL2_1",3,"ARTR2",0,0,4,0,0
"IL2_1",4,"ARTR2",0,0,6,0,0
"IL2_10",2,"ARTR2",0,0,3,0,0
"IL2_10",3,"ARTR2",0,0,3,0,0
"IL2_10",4,"ARTR2",0,0,2,0,0
"IL2_2",2,"ARTR2",0,0,0,0,0
"IL2_2",3,"ARTR2",0,0,0,0,0
"IL2_2",4,"ARTR2",0,0,0,0,0
"IL2_3",2,"ARTR2",0,4,7,1,0
"IL2_3",3,"ARTR2",1,1,4,1,0
"IL2_3",4,"ARTR2",0,1,3,0,0
"IL2_4",2,"ARTR2",0,0,0,0,0
"IL2_4",3,"ARTR2",0,0,0,0,0
"IL2_4",4,"ARTR2",0,0,0,0,0
"IL2_5",2,"ARTR2",0,0,0,0,0
"IL2_5",3,"ARTR2",0,0,0,0,0
"IL2_5",4,"ARTR2",0,0,0,0,0
"IL2_7",2,"ARTR2",0,1,13,3,0
"IL2_7",3,"ARTR2",1,1,8,2,0
"IL2_7",4,"ARTR2",3,0,9,7,0
"IL2_8",2,"ARTR2",0,1,1,1,0
"IL2_8",3,"ARTR2",0,0,4,1,0
"IL2_8",4,"ARTR2",0,0,6,0,0
"IL2_9",2,"ARTR2",0,0,0,0,0
"IL2_9",3,"ARTR2",0,0,0,0,0
"IL2_9",4,"ARTR2",0,0,0,0,0
"IL3_1",2,"ARTR2",0,0,0,0,0
"IL3_1",3,"ARTR2",0,0,0,0,0
"IL3_1",4,"ARTR2",0,0,1,0,0
"IL3_10",2,"ARTR2",0,0,2,4,0
"IL3_10",3,"ARTR2",0,0,3,1,0
"IL3_10",4,"ARTR2",1,0,3,3,0
"IL3_2",2,"ARTR2",1,0,4,3,0
"IL3_2",3,"ARTR2",0,0,6,7,0
"IL3_2",4,"ARTR2",0,1,4,11,0
"IL3_3",2,"ARTR2",0,0,0,0,0
"IL3_3",3,"ARTR2",0,0,0,0,0
"IL3_3",4,"ARTR2",0,0,0,0,0
"IL3_4",2,"ARTR2",0,3,19,5,0
"IL3_4",3,"ARTR2",0,2,16,6,0
"IL3_4",4,"ARTR2",0,1,13,6,0
"IL3_6",2,"ARTR2",8,1,10,3,0
"IL3_6",3,"ARTR2",2,0,14,2,0
"IL3_6",4,"ARTR2",7,0,9,2,0
"IL3_7",2,"ARTR2",0,1,2,0,0
"IL3_7",3,"ARTR2",0,0,5,0,0
"IL3_7",4,"ARTR2",0,0,0,2,0
"IL3_9",2,"ARTR2",0,0,10,2,0
"IL3_9",3,"ARTR2",0,0,9,3,0
"IL3_9",4,"ARTR2",0,0,16,6,0
"IL4_10",2,"ARTR2",0,0,5,7,0
"IL4_10",3,"ARTR2",1,0,7,2,1
"IL4_10",4,"ARTR2",0,0,2,2,0
"IL4_2",2,"ARTR2",0,0,3,3,0
"IL4_2",3,"ARTR2",0,1,1,0,0
"IL4_2",4,"ARTR2",0,0,0,0,0
"IL4_3",2,"ARTR2",0,0,0,0,0
"IL4_3",3,"ARTR2",0,0,0,0,0
"IL4_3",4,"ARTR2",0,0,0,0,0
"IL4_4",2,"ARTR2",0,0,2,0,0
"IL4_4",3,"ARTR2",0,0,0,0,0
"IL4_4",4,"ARTR2",0,0,0,0,0
"IL4_5",2,"ARTR2",1,0,0,0,0
"IL4_5",3,"ARTR2",0,1,1,0,0
"IL4_5",4,"ARTR2",1,1,3,0,0
"IL4_7",2,"ARTR2",0,0,0,0,0
"IL4_7",3,"ARTR2",0,0,0,0,0
"IL4_7",4,"ARTR2",0,0,0,0,0
"IL4_8",2,"ARTR2",5,1,9,0,0
"IL4_8",3,"ARTR2",10,1,8,0,0
"IL4_8",4,"ARTR2",15,3,16,0,0
"IL4_9",2,"ARTR2",0,0,2,0,0
"IL4_9",3,"ARTR2",0,0,0,0,0
"IL4_9",4,"ARTR2",0,0,0,0,0
"M1_1",2,"ARTR2",0,0,0,2,1
"M1_1",2,"ARTR2",0,0,0,0,0
"M1_1",3,"ARTR2",0,0,3,0,0
"M1_1",3,"ARTR2",0,0,0,0,0
"M1_1",4,"ARTR2",0,0,1,0,0
"M1_1",4,"ARTR2",0,0,0,0,0
"M1_10",2,"ARTR2",0,0,0,0,0
"M1_10",3,"ARTR2",0,0,0,0,0
"M1_10",4,"ARTR2",0,0,0,0,0
"M1_2",2,"ARTR2",0,7,14,2,0
"M1_2",3,"ARTR2",0,2,10,1,0
"M1_2",4,"ARTR2",0,0,1,0,0
"M1_4",2,"ARTR2",0,0,0,0,0
"M1_4",3,"ARTR2",0,1,0,0,0
"M1_4",4,"ARTR2",0,0,0,0,0
"M1_5",2,"ARTR2",0,1,3,0,0
"M1_5",3,"ARTR2",0,0,2,0,0
"M1_5",4,"ARTR2",0,1,1,1,0
"M1_6",2,"ARTR2",0,0,0,0,0
"M1_6",3,"ARTR2",0,0,0,0,0
"M1_6",4,"ARTR2",0,0,0,0,0
"M1_7",2,"ARTR2",0,0,0,0,0
"M1_7",3,"ARTR2",0,0,0,0,0
"M1_7",4,"ARTR2",0,0,1,0,0
"M1_8",2,"ARTR2",0,0,0,0,0
"M1_8",3,"ARTR2",0,0,0,0,0
"M1_8",4,"ARTR2",0,0,0,0,0
"M2_1",2,"ARTR2",0,0,6,0,0
"M2_1",3,"ARTR2",0,0,3,1,0
"M2_1",4,"ARTR2",0,0,4,0,0
"M2_10",2,"ARTR2",0,0,0,0,0
"M2_10",3,"ARTR2",0,0,0,0,0
"M2_10",4,"ARTR2",0,0,0,0,0
"M2_3",2,"ARTR2",0,0,0,0,0
"M2_3",3,"ARTR2",0,0,0,0,0
"M2_3",4,"ARTR2",0,0,0,0,0
"M2_5",2,"ARTR2",0,0,0,0,0
"M2_5",3,"ARTR2",0,0,0,0,0
"M2_5",4,"ARTR2",0,0,0,0,0
"M2_6",2,"ARTR2",0,0,0,0,0
"M2_6",3,"ARTR2",0,0,0,0,0
"M2_6",4,"ARTR2",0,0,0,0,0
"M2_7",2,"ARTR2",0,0,0,0,0
"M2_7",3,"ARTR2",0,0,0,0,0
"M2_7",4,"ARTR2",0,0,0,0,0
"M2_8",2,"ARTR2",0,0,0,0,0
"M2_8",3,"ARTR2",0,0,0,0,0
"M2_8",4,"ARTR2",0,0,0,0,0
"M2_9",2,"ARTR2",0,0,0,0,0
"M2_9",3,"ARTR2",0,0,0,0,0
"M2_9",4,"ARTR2",0,0,1,0,0
"M3_1",2,"ARTR2",0,0,0,0,0
"M3_1",3,"ARTR2",0,0,0,0,0
"M3_1",4,"ARTR2",0,0,0,0,0
"M3_2",2,"ARTR2",2,0,3,1,0
"M3_2",3,"ARTR2",0,0,5,1,0
"M3_2",4,"ARTR2",0,0,2,0,0
"M3_3",2,"ARTR2",0,0,4,0,0
"M3_3",3,"ARTR2",0,0,1,0,0
"M3_3",4,"ARTR2",1,0,0,0,0
"M3_5",2,"ARTR2",0,0,0,0,0
"M3_5",3,"ARTR2",0,0,0,0,0
"M3_5",4,"ARTR2",0,0,0,0,0
"M3_7",2,"ARTR2",0,0,0,0,0
"M3_7",3,"ARTR2",0,0,0,0,0
"M3_7",4,"ARTR2",0,0,2,0,0
"M3_8",2,"ARTR2",0,0,0,0,0
"M3_8",3,"ARTR2",0,0,0,0,0
"M3_8",4,"ARTR2",0,0,0,0,0
"M4_2",2,"ARTR2",0,0,1,0,0
"M4_2",3,"ARTR2",3,0,2,0,0
"M4_2",4,"ARTR2",0,0,1,0,0
"M4_3",2,"ARTR2",0,0,0,0,0
"M4_3",3,"ARTR2",0,2,0,0,0
"M4_3",4,"ARTR2",0,0,2,1,0
"M4_4",2,"ARTR2",0,0,0,0,0
"M4_4",3,"ARTR2",0,0,0,0,0
"M4_4",4,"ARTR2",0,0,0,0,0
"M4_5",2,"ARTR2",0,0,0,0,0
"M4_5",2,"ARTR2",0,0,0,0,0
"M4_5",3,"ARTR2",0,0,0,0,0
"M4_5",3,"ARTR2",0,0,0,0,0
"M4_5",4,"ARTR2",0,0,0,0,0
"M4_5",4,"ARTR2",0,0,0,0,0
"M4_6",2,"ARTR2",1,0,0,1,0
"M4_6",2,"ARTR2",0,0,0,0,0
"M4_6",3,"ARTR2",0,1,0,0,0
"M4_6",3,"ARTR2",0,0,0,0,0
"M4_6",4,"ARTR2",0,0,2,0,0
"M4_6",4,"ARTR2",0,0,0,0,0
"M4_7",2,"ARTR2",0,0,2,0,0
"M4_7",2,"ARTR2",0,0,0,0,0
"M4_7",3,"ARTR2",1,0,3,0,0
"M4_7",3,"ARTR2",0,0,0,0,0
"M4_7",4,"ARTR2",0,0,0,0,0
"M4_7",4,"ARTR2",0,0,0,0,0
"M4_9",2,"ARTR2",8,6,43,7,0
"M4_9",3,"ARTR2",1,0,21,5,0
"M4_9",4,"ARTR2",2,0,15,1,1
