"","ACHY","AMID","AMSIN","ARPU9","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BOGR","BOGR/D","BRTE","BRTE/D","CHDE2","CHNAA3","CHVI/DP","CHVI8","CLLU2","CRFL5","DEPI","DEPI/D","ECCOC","ECCOC/D","ELEL","EPVI","ERCI6","GRFA","GUSA","GUSA/D","HECO26","HECO26/D","HYACA2","JUOS","KRLA2","KRLA2/DP","LAOC3","LEMO2","MAFR3","MAFR3/DP","OENOT","OPPO","OPPO/D","OPPO/DP","PEPU7","PIED","PLPA2","SALS0","SALS0/D","SALSO/D","SPCO","SPCR","SPCR/D","UNKSPR","BAMU","CHVI8/D","CHVI8/DP","ERAB3","HIJA","JUOS/D","LAAC3","PEPU9","PIED/D","SHRO/DP","SPCO/D","UNKF10","UNKF11","UNKF14","UNKF9","YUAN2/D","AMHI","CETE5","CLLU2/D","HECO26/DP","KRLA2/D","OECA10","PHAU3","UNKFG"
"B4_7",0,0,0,0,0,0.0153846153846154,0,0.0256410256410256,0,0,0.615384615384615,0.0461538461538462,0,0.00512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00512820512820513,0,0,0,0.00512820512820513,0,0,0,0,0,0,0.0153846153846154,0.00512820512820513,0,0,0,0,0,0.00512820512820513,0,0,0.235897435897436,0.0205128205128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_8",0.00956937799043062,0,0,0,0,0,0,0.0526315789473684,0,0.00956937799043062,0,0,0.114832535885167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00478468899521531,0.00478468899521531,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0,0.124401913875598,0,0,0,0,0.00478468899521531,0,0,0.61244019138756,0.00956937799043062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_9",0.041958041958042,0,0,0,0,0.041958041958042,0,0.00699300699300699,0,0,0.251748251748252,0.034965034965035,0,0,0,0,0,0,0,0,0,0,0,0,0.00699300699300699,0,0,0,0.020979020979021,0.00699300699300699,0.216783216783217,0,0.00699300699300699,0.020979020979021,0,0,0,0,0,0,0,0.013986013986014,0.00699300699300699,0.013986013986014,0,0.132867132867133,0,0,0,0,0,0.174825174825175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_1",0,0,0,0,0.15819209039548,0.0395480225988701,0.0282485875706215,0,0,0,0.553672316384181,0.0282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112994350282486,0,0,0,0.0621468926553672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0790960451977401,0,0,0,0,0,0,0.0112994350282486,0,0,0,0,0,0,0.0225988700564972,0,0,0.00564971751412429,0,0,0,0,0,0,0,0,0
"IL1_10",0,0,0,0,0,0,0,0.0240384615384615,0,0,0.586538461538462,0.0528846153846154,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00961538461538462,0,0,0,0.0192307692307692,0,0,0,0,0,0,0.0336538461538462,0,0.0144230769230769,0,0,0,0,0,0,0,0.240384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_3",0,0,0,0,0,0.00523560209424084,0,0.0366492146596859,0,0.00523560209424084,0.130890052356021,0.0157068062827225,0.0209424083769634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471204188481675,0,0,0,0.00523560209424084,0,0,0,0,0,0.0157068062827225,0,0,0,0,0.0157068062827225,0,0.0366492146596859,0,0,0,0,0,0,0,0.62303664921466,0.0418848167539267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_4",0.00518134715025907,0,0,0,0.0621761658031088,0.0310880829015544,0.00518134715025907,0,0,0,0.347150259067358,0.00518134715025907,0,0,0,0,0,0.124352331606218,0,0,0,0,0.00518134715025907,0,0.00518134715025907,0.0103626943005181,0,0,0.0362694300518135,0,0.170984455958549,0,0,0,0,0,0,0,0,0,0,0.0207253886010363,0,0.0259067357512953,0,0,0,0,0,0,0,0.145077720207254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_5",0.0363636363636364,0,0,0,0,0.0424242424242424,0,0.0303030303030303,0,0,0.187878787878788,0.0121212121212121,0.00606060606060606,0,0,0,0,0,0,0,0.00606060606060606,0,0,0,0,0.0121212121212121,0,0,0.0181818181818182,0.0303030303030303,0.436363636363636,0.00606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606060606060606,0,0,0.0121212121212121,0.145454545454545,0,0.0121212121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_8",0,0,0,0,0.0127388535031847,0.0254777070063694,0,0.00636942675159236,0,0,0.668789808917197,0.00636942675159236,0.00636942675159236,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0.00636942675159236,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127388535031847,0,0,0,0,0,0,0.00636942675159236,0,0,0.222929936305732,0.0127388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_9",0,0,0,0.0375,0,0.0125,0.0375,0,0,0,0.2,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_1",0.0256410256410256,0,0,0,0.0192307692307692,0.0384615384615385,0.00641025641025641,0.0192307692307692,0,0.00641025641025641,0.262820512820513,0.0256410256410256,0,0,0,0,0,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0.0448717948717949,0.0384615384615385,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0.134615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_10",0,0,0,0,0.0199004975124378,0.054726368159204,0.00995024875621891,0.0149253731343284,0,0.00497512437810945,0.358208955223881,0.0298507462686567,0,0,0,0,0.00497512437810945,0.0447761194029851,0,0,0,0,0.00497512437810945,0,0,0,0,0,0.0248756218905473,0.0149253731343284,0.283582089552239,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124378109452736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_2",0,0,0,0,0,0.00649350649350649,0,0.0194805194805195,0,0,0.467532467532468,0.0194805194805195,0.0194805194805195,0,0,0,0,0,0,0,0,0,0,0,0.00649350649350649,0,0.00649350649350649,0,0,0,0.00649350649350649,0,0,0,0.012987012987013,0,0,0,0,0,0,0.012987012987013,0.012987012987013,0,0,0,0,0,0,0,0,0.402597402597403,0.00649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_3",0.00442477876106195,0,0,0.00442477876106195,0.00884955752212389,0.0398230088495575,0,0.0132743362831858,0,0,0.566371681415929,0.0398230088495575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132743362831858,0,0.084070796460177,0,0,0,0,0,0,0,0,0,0,0.00442477876106195,0,0,0,0,0.00442477876106195,0,0,0,0,0.207964601769911,0.00884955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_4",0,0,0,0.00645161290322581,0,0.0258064516129032,0,0,0,0,0.0645161290322581,0.0129032258064516,0.0193548387096774,0,0,0,0,0,0,0,0,0,0,0,0.00645161290322581,0,0.00645161290322581,0,0,0,0.264516129032258,0,0,0,0,0,0,0,0,0,0,0.0193548387096774,0,0.0193548387096774,0,0,0,0,0,0,0.0193548387096774,0.529032258064516,0,0,0,0,0,0,0,0,0,0,0,0.00645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_5",0,0.00523560209424084,0,0,0,0,0,0,0,0,0.12565445026178,0.0104712041884817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157068062827225,0.00523560209424084,0,0,0.0209424083769634,0,0,0,0.0157068062827225,0,0.0104712041884817,0,0,0,0,0.0366492146596859,0,0.0366492146596859,0,0,0.0157068062827225,0.00523560209424084,0,0,0,0.691099476439791,0,0,0,0,0,0,0,0,0,0,0,0,0.00523560209424084,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_7",0.0175438596491228,0,0,0,0.0994152046783626,0.087719298245614,0.0116959064327485,0,0,0.00584795321637427,0.374269005847953,0.0175438596491228,0.00584795321637427,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0,0.0175438596491228,0,0,0.0526315789473684,0,0.245614035087719,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_8",0,0,0,0.0062111801242236,0.0434782608695652,0.0248447204968944,0.0124223602484472,0.0372670807453416,0,0,0.118012422360248,0.0062111801242236,0.0124223602484472,0,0,0,0,0,0,0,0,0,0.0062111801242236,0.0062111801242236,0,0,0.0434782608695652,0,0.0496894409937888,0.0124223602484472,0.0434782608695652,0,0,0,0,0,0.0062111801242236,0,0,0,0,0.0186335403726708,0,0,0,0,0,0,0,0,0,0.546583850931677,0,0,0,0,0,0,0,0,0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_9",0.0116959064327485,0,0,0.00584795321637427,0,0.0467836257309941,0,0.0526315789473684,0,0,0.292397660818713,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116959064327485,0,0,0.0175438596491228,0,0.16374269005848,0,0,0,0,0,0,0,0,0,0,0.0233918128654971,0.0116959064327485,0.00584795321637427,0,0.0350877192982456,0.00584795321637427,0,0,0,0,0.304093567251462,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_1",0,0,0,0,0,0.0338983050847458,0,0.0169491525423729,0,0,0.310734463276836,0.00564971751412429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734463276836158,0.00564971751412429,0.15819209039548,0,0,0,0.00564971751412429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389830508474576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_10",0.0164835164835165,0,0,0,0.0659340659340659,0.043956043956044,0.021978021978022,0.021978021978022,0,0,0.379120879120879,0.010989010989011,0,0,0,0,0,0.0164835164835165,0.00549450549450549,0,0,0,0,0,0,0.00549450549450549,0,0,0,0,0.0494505494505494,0.00549450549450549,0,0,0.00549450549450549,0,0,0,0,0,0,0.0384615384615385,0,0.032967032967033,0,0,0,0,0,0,0.0164835164835165,0.236263736263736,0.010989010989011,0,0,0,0.0164835164835165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_2",0,0,0,0,0.0294117647058824,0.0294117647058824,0.0352941176470588,0.0588235294117647,0.00588235294117647,0.00588235294117647,0.505882352941176,0.0352941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176470588235294,0,0,0,0,0,0,0,0,0,0.182352941176471,0.00588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0.0352941176470588,0.0176470588235294,0,0.0235294117647059,0,0,0,0,0,0,0,0,0
"IL3_3",0,0,0,0,0,0.0640394088669951,0,0.00492610837438424,0,0,0.310344827586207,0,0,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0.0147783251231527,0,0,0.00492610837438424,0.0147783251231527,0.54679802955665,0.0246305418719212,0,0,0,0,0,0,0,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_4",0,0,0,0,0.133720930232558,0.0348837209302326,0,0.00581395348837209,0,0,0.430232558139535,0.0348837209302326,0.00581395348837209,0,0,0,0.00581395348837209,0.0348837209302326,0,0,0,0,0,0,0.00581395348837209,0,0,0.00581395348837209,0,0,0.180232558139535,0.00581395348837209,0,0,0,0,0,0,0,0,0,0.00581395348837209,0,0,0,0,0,0,0,0,0,0.104651162790698,0.00581395348837209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_6",0,0,0,0,0.0805369127516778,0.0402684563758389,0.0134228187919463,0,0,0,0.503355704697987,0.0134228187919463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134228187919463,0,0,0,0.0469798657718121,0,0,0,0.0134228187919463,0,0,0,0,0,0,0.00671140939597315,0,0,0,0,0,0,0,0,0,0.25503355704698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134228187919463,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_7",0,0,0.00492610837438424,0,0.00492610837438424,0.0246305418719212,0.0147783251231527,0.0246305418719212,0,0,0.497536945812808,0,0.0443349753694581,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0,0.00492610837438424,0.0246305418719212,0.00492610837438424,0.211822660098522,0,0,0,0.00492610837438424,0,0.00492610837438424,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0,0.113300492610837,0,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_9",0.00518134715025907,0,0,0.00518134715025907,0.0829015544041451,0.0673575129533679,0.0310880829015544,0,0,0,0.274611398963731,0.0414507772020725,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0,0,0.00518134715025907,0,0,0.0310880829015544,0.0155440414507772,0.362694300518135,0,0,0,0,0,0,0,0,0,0,0.00518134715025907,0,0.0103626943005181,0,0,0,0,0,0,0,0.0466321243523316,0.00518134715025907,0,0,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_10",0.021978021978022,0,0,0,0.0934065934065934,0.021978021978022,0,0.0274725274725275,0.00549450549450549,0,0.401098901098901,0.010989010989011,0,0,0,0,0,0.0164835164835165,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692307692,0,0,0,0,0,0.00549450549450549,0,0,0,0,0.010989010989011,0,0.0164835164835165,0,0,0,0,0,0,0,0.175824175824176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_2",0.00529100529100529,0,0,0,0.00529100529100529,0.037037037037037,0,0.0582010582010582,0.0105820105820106,0.0105820105820106,0.232804232804233,0.0264550264550265,0.0158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00529100529100529,0.0105820105820106,0.0634920634920635,0,0,0,0,0,0.00529100529100529,0,0,0,0,0.00529100529100529,0,0,0,0.0476190476190476,0,0,0,0,0,0.44973544973545,0.0105820105820106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_3",0,0,0,0,0,0.0164835164835165,0,0.010989010989011,0,0,0.384615384615385,0.0164835164835165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164835164835165,0,0.461538461538462,0,0,0,0.00549450549450549,0,0,0,0,0,0,0.0164835164835165,0,0.010989010989011,0,0,0,0,0,0,0,0.0604395604395604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_4",0,0,0,0,0,0.0373134328358209,0,0.0149253731343284,0,0,0.41044776119403,0.0671641791044776,0,0,0,0,0,0,0,0,0,0,0.0149253731343284,0,0,0.00746268656716418,0,0,0.0522388059701493,0.0373134328358209,0.208955223880597,0,0,0,0,0,0,0,0,0,0,0.00746268656716418,0.00746268656716418,0,0,0.0746268656716418,0,0,0,0,0,0.0522388059701493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746268656716418,0,0,0,0,0,0,0,0,0
"IL4_5",0.0104712041884817,0,0,0,0.00523560209424084,0.0209424083769634,0,0.0209424083769634,0,0,0.382198952879581,0.0261780104712042,0,0,0,0,0,0.0157068062827225,0,0,0,0,0,0,0,0,0,0,0.031413612565445,0.00523560209424084,0.382198952879581,0,0,0,0,0,0,0,0,0,0,0,0,0.00523560209424084,0,0,0,0,0,0,0,0.0942408376963351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_7",0.0251256281407035,0,0,0,0,0.085427135678392,0,0.0351758793969849,0,0,0.417085427135678,0.0201005025125628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251256281407035,0.0100502512562814,0.21608040201005,0.0100502512562814,0,0,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351758793969849,0,0,0,0.0050251256281407,0.0050251256281407,0,0.105527638190955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_8",0,0,0,0,0.0238095238095238,0.0119047619047619,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0,0,0,0.30952380952381,0,0,0,0.0119047619047619,0,0,0,0,0,0,0,0.404761904761905,0,0,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,0.0119047619047619,0,0.0119047619047619,0.0833333333333333,0,0,0,0,0.0119047619047619,0,0.0119047619047619,0,0,0,0,0,0,0,0
"IL4_9",0.014218009478673,0,0,0,0.004739336492891,0.037914691943128,0,0.018957345971564,0,0,0.265402843601896,0.00947867298578199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014218009478673,0,0.511848341232227,0,0,0,0,0,0,0.004739336492891,0,0,0,0,0,0.004739336492891,0,0,0,0,0,0,0,0.113744075829384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_1",0,0,0.0340136054421769,0,0,0.0136054421768707,0,0.136054421768707,0,0.00680272108843537,0.0136054421768707,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136054421768707,0.0136054421768707,0,0,0,0,0,0,0.0340136054421769,0,0.129251700680272,0,0,0,0,0,0,0,0,0,0.0272108843537415,0,0,0,0,0.442176870748299,0.0884353741496599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_10",0,0.0111731843575419,0,0,0,0,0,0,0,0,0,0,0.0223463687150838,0,0,0,0,0,0,0,0,0,0,0,0.00558659217877095,0,0.0391061452513966,0.0111731843575419,0,0,0,0,0,0,0,0,0.0726256983240224,0,0,0,0,0.0558659217877095,0,0.0223463687150838,0,0,0.0167597765363128,0,0,0,0,0.737430167597765,0,0.00558659217877095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_2",0.0175438596491228,0,0.0116959064327485,0,0.0292397660818713,0.064327485380117,0.0116959064327485,0,0,0,0.0350877192982456,0.0116959064327485,0,0,0,0,0,0.0116959064327485,0,0,0,0,0,0,0,0,0.0233918128654971,0.0116959064327485,0,0,0.105263157894737,0,0,0,0.0584795321637427,0.00584795321637427,0.16374269005848,0,0,0,0,0.00584795321637427,0,0,0,0,0.0116959064327485,0,0,0,0,0.345029239766082,0.0701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0
"M1_4",0,0,0.0858895705521472,0,0.00613496932515337,0.0245398773006135,0,0,0,0,0.0674846625766871,0.0368098159509202,0.00613496932515337,0,0,0,0,0,0.0122699386503067,0,0,0,0,0,0,0,0,0.0184049079754601,0,0,0,0,0,0,0.0122699386503067,0,0.196319018404908,0,0,0,0,0.0368098159509202,0,0,0,0,0.0184049079754601,0,0,0,0,0.319018404907975,0.141104294478528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613496932515337,0,0.0122699386503067
"M1_5",0.015,0,0.005,0,0.015,0.08,0,0.025,0,0,0.335,0.025,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.395,0,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_6",0,0,0.0342857142857143,0,0,0,0,0.142857142857143,0.0114285714285714,0,0.257142857142857,0.0114285714285714,0.0285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171428571428571,0,0,0,0,0,0,0.00571428571428571,0,0.0628571428571429,0,0,0,0,0.0457142857142857,0,0.0114285714285714,0,0,0.0114285714285714,0,0,0,0,0.308571428571429,0.0514285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
